Brand,Description,link,pricewas,pricenow
APPLE,MACBOOK PRO 15-INCH 2.6GHZ/I7/16GB/256GB SILVER MV922X/A,https://www.davidjones.com/brand/apple/22754416/MacBook-Pro-15-inch-2.6GHZ%7CI7%7C16GB%7C256GB-Silver-MV922X%7CA.html,"RRP
$2,697.00","OUR PRICE
$2,497.00"
APPLE,IPHONE 11 PRO 256GB - SPACE GREY - MWC72X/A,https://www.davidjones.com/brand/apple/23016133/iPhone-11-Pro-256GB---Space-Grey---MWC72X%7CA.html,"$1,999.00","$1,999.00"
APPLE,IPHONE 11 PRO 256GB - SILVER - MWC82X/A,https://www.davidjones.com/brand/apple/23016134/iPhone-11-Pro-256GB---Silver---MWC82X%7CA.html,"$1,999.00","$1,999.00"
APPLE,IPHONE 11 PRO MAX 256GB - SILVER - MWHK2X/A,https://www.davidjones.com/brand/apple/23016146/iPhone-11-Pro-Max-256GB---Silver---MWHK2X%7CA.html,"$2,149.00","$2,149.00"
APPLE,IPHONE 11 128GB - PURPLE - MWM52X/A,https://www.davidjones.com/brand/apple/23016121/iPhone-11-128GB---Purple---MWM52X%7CA.html,"$1,279.00","$1,279.00"
APPLE,IPHONE 11 128GB - WHITE - MWM22X/A,https://www.davidjones.com/brand/apple/23016118/iPhone-11-128GB---White---MWM22X%7CA.html,"$1,279.00","$1,279.00"
APPLE,IPAD 10.2-INCH WI-FI 32GB GOLD (7TH GEN) MW762X/A,https://www.davidjones.com/brand/apple/23047689/iPad-10.2-inch-Wi-Fi-32GB-Gold-(7th-Gen)--MW762X%7CA.html,$529.00,$529.00
APPLE,WATCH S5 GPS 40MM GOLD ALUMINIUM PINK SAND SPORT BAND,https://www.davidjones.com/brand/apple/23016525/Watch-S5-GPS-40mm-Gold-Aluminium-Pink-Sand-Sport-Band.html,$649.00,$649.00
APPLE,WATCH S5 GPS + CELL 40MM SPACE GREY ALUMINIUM W/BLACK BAND,https://www.davidjones.com/brand/apple/23016541/Watch-S5-GPS-+-CELL-40mm-Space-Grey-Aluminium-W%7CBlack-Band.html,$799.00,$799.00
APPLE,IMAC 21.5-INCH 2.3GHZ DC/8GB/1TB MMQA2X/A,https://www.davidjones.com/brand/apple/21429486/iMac-21.5-inch-2.3GHZ-DC%7C8GB%7C1TB-MMQA2X%7CA.html,"$1,699.00","$1,699.00"
